Geneid,Genesymbol,Genetype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000165752,STK32C,protein_coding,896,1085,1034,1344,221,78,69,215
ENSG00000165757,JCAD,protein_coding,185,201,248,294,537,170,238,701
ENSG00000165762,OR4K2,protein_coding,0,0,0,1,0,0,1,0
ENSG00000165775,FUNDC2,protein_coding,1952,2539,2133,2776,1203,365,391,904
ENSG00000165782,PIP4P1,protein_coding,917,1013,741,1061,208,68,107,310
ENSG00000165792,METTL17,protein_coding,1840,2152,1670,2132,654,225,264,641
ENSG00000165794,SLC39A2,protein_coding,12,15,5,8,2,0,0,3
ENSG00000165795,NDRG2,protein_coding,2798,3017,2556,3372,345,118,164,410
ENSG00000165799,RNASE7,protein_coding,4,5,4,12,0,0,0,0
ENSG00000165801,ARHGEF40,protein_coding,476,420,370,513,334,140,257,660
ENSG00000165802,NSMF,protein_coding,3490,3940,3376,4434,283,102,165,515
ENSG00000165804,ZNF219,protein_coding,785,881,487,666,165,49,101,220
ENSG00000165805,C12orf50,protein_coding,0,0,7,1,0,0,1,0
ENSG00000165806,CASP7,protein_coding,1592,1911,1841,2209,515,195,235,644
ENSG00000165807,PPP1R36,protein_coding,6,4,17,10,18,3,2,9
ENSG00000165810,BTNL9,protein_coding,589,599,943,1072,192,74,63,145
ENSG00000165813,CCDC186,protein_coding,5636,6232,6927,6624,518,140,143,416
ENSG00000165816,VWA2,protein_coding,77,81,117,124,3,0,5,8
ENSG00000165819,METTL3,protein_coding,1974,2163,2484,2793,642,210,299,831
ENSG00000165821,SALL2,protein_coding,741,885,618,864,186,70,84,258
ENSG00000165832,TRUB1,protein_coding,4497,5389,5275,5351,536,176,216,645
ENSG00000165841,CYP2C19,protein_coding,69,83,87,84,0,0,0,1
ENSG00000165861,ZFYVE1,protein_coding,574,648,447,603,2470,856,678,1811
ENSG00000165863,SPMIP5,protein_coding,0,2,1,1,0,0,0,1
ENSG00000165868,HSPA12A,protein_coding,1249,1411,1431,1710,505,172,199,579
ENSG00000165879,FRAT1,protein_coding,263,326,215,228,14,7,6,22
ENSG00000165886,UBTD1,protein_coding,342,364,156,223,280,115,158,380
ENSG00000165887,ANKRD2,protein_coding,9,8,29,30,1,0,1,1
ENSG00000165891,E2F7,protein_coding,830,968,732,763,547,145,154,486
ENSG00000165895,ARHGAP42,protein_coding,98,159,104,104,464,119,126,343
ENSG00000165898,ISCA2,protein_coding,634,736,886,1109,333,122,139,378
ENSG00000165899,OTOGL,protein_coding,24,26,20,10,13,3,8,23
ENSG00000165905,LARGE2,protein_coding,261,259,302,533,110,33,55,196
ENSG00000165912,PACSIN3,protein_coding,1254,1435,1058,1571,116,38,78,181
ENSG00000165914,TTC7B,protein_coding,1839,1859,1899,2204,2881,1071,905,2630
ENSG00000165915,SLC39A13,protein_coding,254,257,242,433,130,50,67,167
ENSG00000165916,PSMC3,protein_coding,2106,2303,2877,3800,160,55,87,206
ENSG00000165917,RAPSN,protein_coding,5,2,1,6,1,0,0,1
ENSG00000165923,AGBL2,protein_coding,2,0,0,2,2,0,1,6
ENSG00000165929,TC2N,protein_coding,10934,12537,9755,9703,78,34,37,80
ENSG00000165934,CPSF2,protein_coding,5940,7304,7998,8190,2790,896,902,2508
ENSG00000165935,SMCO2,protein_coding,0,3,1,8,37,6,6,17
ENSG00000165943,MOAP1,protein_coding,3881,4227,3776,4587,394,134,118,337
ENSG00000165948,IFI27L1,protein_coding,131,150,140,253,56,19,26,62
ENSG00000165949,IFI27,protein_coding,164,193,238,341,21,8,7,24
ENSG00000165959,CLMN,protein_coding,1869,2161,1401,1494,719,209,250,700
ENSG00000165966,PDZRN4,protein_coding,2,4,1,2,0,0,0,0
ENSG00000165972,CCDC38,protein_coding,2,1,1,0,4,0,0,1
