"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162599",1888.17702324924,-0.303300283518821,0.11675439084132,-2.59776340172965,0.0093833122928487,0.0319838984690661
"ENSG00000277972",1133.7054071578,-0.338128844783809,0.130156774521809,-2.5978582061985,0.00938072214564159,0.0319838984690661
"ENSG00000160007",2292.75121893469,0.289673002871543,0.111543187523854,2.5969582661388,0.00940533508338919,0.0320475530468464
"ENSG00000126088",624.249396540165,-0.42638883884063,0.164210019499338,-2.59660671218878,0.00941496555515236,0.0320725298645222
"ENSG00000130811",2686.5782788768,-0.324717842075849,0.125064404932742,-2.59640496630898,0.0094204961548555,0.0320756966757388
"ENSG00000180616",19.8313232535582,1.67310896364023,0.644374504381754,2.59648535481008,0.00941829206191851,0.0320756966757388
"ENSG00000126653",3082.02331054229,-0.315317865415088,0.121470428477547,-2.59584056273722,0.00943598393860035,0.0321205869277111
"ENSG00000047346",1649.77982725837,-0.360210778528404,0.138812143297319,-2.59495149323409,0.00946042694110777,0.0321872892204295
"ENSG00000104979",1231.04945842017,-0.361782698836392,0.13941460427173,-2.59501291651804,0.00945873642933502,0.0321872892204295
"ENSG00000198169",401.235272494132,0.446983439590602,0.172256183074647,2.59487602483855,0.00946250437599804,0.0321872892204295
"ENSG00000116698",3803.47750758322,0.294089170029356,0.113345172261826,2.59463340308852,0.0094691858344506,0.0322021605096938
"ENSG00000100350",2523.94875640276,0.283986326946064,0.109508709890244,2.5932761625143,0.00950663997655523,0.0323216486693757
"ENSG00000227500",1756.72843157269,-0.329744194644886,0.12718085456667,-2.59271881580281,0.00952205863310731,0.0323661783328657
"ENSG00000020129",633.109592568714,-0.404810016032793,0.156148742744574,-2.5924641397528,0.00952911151084231,0.0323822573228551
"ENSG00000163644",712.173842391286,-0.365104365794832,0.140880952714375,-2.59158075495878,0.00955361166808237,0.0324572381256388
"ENSG00000186889",65.7803387431258,-0.957313249998095,0.369404959415196,-2.59150080581921,0.00955583177979972,0.0324572381256388
"ENSG00000178691",3299.95592859223,0.316757870092092,0.122233953333674,2.59140657283175,0.00955844913107606,0.0324582211969297
"ENSG00000108984",274.542183633303,-0.503856312471646,0.194465444820686,-2.59098120458493,0.0095702718269449,0.032490455340417
"ENSG00000113658",2022.97757674206,0.325946528168975,0.12580528042175,2.59088113850444,0.0095730549598975,0.0324919925282013
"ENSG00000088992",74.1353581977359,-0.879264294849643,0.339407623026236,-2.59058499337735,0.00958129585846271,0.0325041382371157
"ENSG00000099377",453.793763294839,-0.52781606673385,0.203740008624804,-2.59063534107259,0.0095798943754483,0.0325041382371157
"ENSG00000133106",25.482112120349,-1.5044000338094,0.580869192735441,-2.5899118986236,0.0096000497515457,0.0325598379191928
"ENSG00000197702",357.921310520743,0.463201039164587,0.17887467573063,2.58952832351812,0.00961075162696892,0.0325882076689756
"ENSG00000148824",196.776860163986,0.629893913963433,0.243265840596477,2.58932331978449,0.00961647566099565,0.0325996888259816
"ENSG00000136527",4442.71077402536,-0.301740423123524,0.116557335889684,-2.58877247682726,0.00963187114105999,0.0326439424695672
"ENSG00000285053",355.259704575732,0.450762960509442,0.174190916165834,2.58775239508072,0.00966043938423769,0.0327328083437244
"ENSG00000169224",5.23407926602339,3.85025185275088,1.48814152474552,2.58728876839137,0.00967344858681403,0.0327689245981409
"ENSG00000112763",964.585162423201,0.337758190285967,0.1305523854875,2.5871468301765,0.00967743444458105,0.0327744640419707
"ENSG00000032444",731.026260403792,0.423646183874442,0.163812882370064,2.58615914539247,0.00970521081408536,0.0328605523022808
"ENSG00000240849",1281.34557202342,0.37689842467967,0.145794954208203,2.58512667140345,0.0097343227252062,0.0329511196303836
"ENSG00000114248",22.2781902714287,-1.60897608755545,0.62278923476115,-2.58350015984544,0.00978034217874848,0.033090830137901
"ENSG00000175931",1245.76633406602,0.32364659369098,0.125272776419009,2.58353493027452,0.0097793563824295,0.033090830137901
"ENSG00000179593",22.6489293145211,-1.54703685807437,0.598900997975988,-2.58312619832435,0.00979095017518085,0.0331186846900889
"ENSG00000059145",879.66613340466,-0.379798814262354,0.147086500912824,-2.58214596108622,0.00981880479782849,0.0332048496958823
"ENSG00000141642",194.49695907543,-0.597449705213984,0.231414183736047,-2.58173330419297,0.00983055204623508,0.0332365148352705
"ENSG00000131626",2443.67724556666,0.310693463524991,0.120379659502671,2.58094652209993,0.00985298435436317,0.0333042814188814
"ENSG00000074317",15.5767633586992,1.92575795649771,0.746723204034648,2.57894484340727,0.0099102608981812,0.0334816495525419
"ENSG00000197622",3407.34853665989,0.277810000227706,0.107720182827856,2.57899673890884,0.00990877220959554,0.0334816495525419
"ENSG00000163377",33.5055035082568,-1.26679460202059,0.491259441310279,-2.57866718783423,0.00991822918751883,0.0335004528976684
"ENSG00000203965",465.5630567828,-0.435650895533225,0.168966038848847,-2.5783340753046,0.00992779653770598,0.0335246469181968
"ENSG00000108599",951.743364861963,0.358363995705015,0.138997164805225,2.57821083046684,0.0099313383450927,0.0335284868149219
"ENSG00000075275",751.188888021167,-0.379125663129041,0.147071394533236,-2.57783414872948,0.00994217039512626,0.0335569309656852
"ENSG00000171723",377.240766102054,-0.441815139248174,0.171399182702079,-2.57769688444854,0.00994612025162225,0.0335621381094794
"ENSG00000163374",1448.06544449717,0.31506141998752,0.122238129209136,2.57743980561486,0.00995352159972687,0.0335789866114183
"ENSG00000133704",1958.197354133,-0.315821625466464,0.122537372804615,-2.57734940971878,0.00995612528026735,0.0335796455691262
"ENSG00000226742",830.414638523281,0.348913209938306,0.135407674389075,2.57676096655905,0.00997308909184598,0.0336287258059513
"ENSG00000085998",1797.96363507451,-0.36347102951706,0.141068239787726,-2.57656174106941,0.0099788382537455,0.0336318447599646
"ENSG00000198522",338.226340680696,-0.469116553741935,0.182064905688337,-2.57664458709566,0.00997644716095498,0.0336318447599646
"ENSG00000134287",2831.15949331805,-0.278430957857507,0.108072185027835,-2.57634244913058,0.00998516989734994,0.0336443765137282
"ENSG00000172534",3886.41190810474,0.275575153870674,0.106966893305714,2.57626584594798,0.00998738251382924,0.0336443765137282
"ENSG00000070669",214.262235309015,-0.662746831464446,0.25732121668961,-2.57556232630392,0.0100077234999952,0.0337047557392349
